rank_among_TFs	EGI	coex_score	rank_genomewide	percentile
1	8084681	3.7763	17	0.9992139091833904
2	8057408	2.8681	63	0.9970868399149172
3	110433436	2.6735	79	0.9963469897345788
4	8068166	2.6411	91	0.9957921020993249
5	8079064	2.4627	118	0.9945436049200037
6	8084661	2.3005	154	0.9928789420142421
7	8078009	2.2032	177	0.9918154073800055
8	8069679	2.2032	181	0.9916304448349209
9	8077856	2.187	184	0.9914917229261074
10	110431541	2.0086	257	0.9881161564783132
11	8075586	1.9761	273	0.9873763062979747
12	110437025	1.9275	293	0.9864514935725516
13	8071489	1.9275	299	0.9861740497549246
14	8059164	1.895	316	0.985387958938315
15	8054725	1.8626	334	0.9845556274854342
16	8055926	1.8626	339	0.9843244243040784
17	8059597	1.8464	361	0.983307130306113
18	8078577	1.8464	364	0.9831684083972996
19	8062073	1.814	382	0.9823360769444187
20	110437008	1.7815	428	0.9802090076759457
21	8057477	1.7653	434	0.9799315638583187
22	110436358	1.7653	437	0.9797928419495052
23	8078835	1.7653	446	0.9793766762230648
24	8075201	1.7491	451	0.9791454730417091
25	8054489	1.7491	455	0.9789605104966245
26	8055927	1.7329	461	0.9786830666789975
27	8056409	1.7004	488	0.9774345694996763
28	8058755	1.6842	498	0.9769721631369648
29	8083682	1.6842	503	0.976740959955609
30	8067268	1.6842	504	0.9766947193193378
31	8075875	1.668	525	0.9757236659576436
32	8064947	1.6356	561	0.974059003051882
33	8081142	1.6356	564	0.9739202811430685
34	8062351	1.6356	567	0.973781559234255
35	8072107	1.6193	594	0.9725330620549338
36	8075385	1.6193	601	0.9722093776010358
37	8071726	1.6031	606	0.97197817441968
38	110434506	1.5707	652	0.9698511051512069
39	8075157	1.5382	686	0.9682789235179876
40	8083275	1.5382	708	0.9672616295200221
41	8070788	1.522	722	0.966614260612226
42	8063975	1.4896	772	0.9643022287986682
43	8074593	1.4734	780	0.963932303708499
44	8064787	1.4734	788	0.9635623786183298
45	8074719	1.4734	793	0.963331175436974
46	8057801	1.4572	805	0.9627762878017202
47	8054172	1.4572	812	0.962452603347822
48	110433576	1.4409	834	0.9614353093498567
