NC_012870.2	1
NC_012871.2	2
NC_012872.2	3
NC_012873.2	4
NC_012874.2	5
NC_012875.2	6
NC_012876.2	7
NC_012877.2	8
NC_012878.2	9
NC_012879.2	10
NW_018396397.1	super_16
NW_018396398.1	super_18
NW_018396399.1	super_20
NW_018396400.1	super_22
NW_018396401.1	super_25
NW_018396402.1	super_26
NW_018396403.1	super_27
NW_018396404.1	super_28
NW_018396405.1	super_29
NW_018396406.1	super_30
NW_018396407.1	super_31
NW_018396408.1	super_32
NW_018396409.1	super_33
NW_018396410.1	super_35
NW_018396411.1	super_36
NW_018396412.1	super_37
NW_018396413.1	super_38
NW_018396414.1	super_39
NW_018396415.1	super_40
NW_018396416.1	super_41
NW_018396417.1	super_42
NW_018396418.1	super_43
NW_018396419.1	super_44
NW_018396420.1	super_45
NW_018396421.1	super_46
NW_018396422.1	super_47
NW_018396423.1	super_48
NW_018396424.1	super_49
NW_018396425.1	super_50
NW_018396426.1	super_51
NW_018396427.1	super_52
NW_018396428.1	super_53
NW_018396429.1	super_54
NW_018396430.1	super_55
NW_018396431.1	super_56
NW_018396432.1	super_57
NW_018396433.1	super_58
NW_018396434.1	super_60
NW_018396435.1	super_61
NW_018396436.1	super_62
NW_018396437.1	super_63
NW_018396438.1	super_64
NW_018396439.1	super_65
NW_018396440.1	super_66
NW_018396441.1	super_68
NW_018396442.1	super_69
NW_018396443.1	super_70
NW_018396444.1	super_71
NW_018396445.1	super_72
NW_018396446.1	super_73
NW_018396447.1	super_74
NW_018396448.1	super_75
NW_018396449.1	super_76
NW_018396450.1	super_77
NW_018396451.1	super_78
NW_018396452.1	super_79
NW_018396453.1	super_80
NW_018396454.1	super_81
NW_018396455.1	super_82
NW_018396456.1	super_83
NW_018396457.1	super_84
NW_018396458.1	super_85
NW_018396459.1	super_86
NW_018396460.1	super_87
NW_018396461.1	super_88
NW_018396462.1	super_89
NW_018396463.1	super_90
NW_018396464.1	super_91
NW_018396465.1	super_92
NW_018396466.1	super_93
NW_018396467.1	super_94
NW_018396468.1	super_95
NW_018396469.1	super_96
NW_018396470.1	super_97
NW_018396471.1	super_99
NW_018396472.1	super_100
NW_018396473.1	super_101
NW_018396474.1	super_102
NW_018396475.1	super_103
NW_018396476.1	super_104
NW_018396477.1	super_105
NW_018396478.1	super_107
NW_018396479.1	super_109
NW_018396480.1	super_110
NW_018396481.1	super_112
NW_018396482.1	super_114
NW_018396483.1	super_117
NW_018396484.1	super_118
NW_018396485.1	super_119
NW_018396486.1	super_120
