gene_id,n_supporting_contrasts,mean_methyl_diff
LOC8058048,1,-0.748798861954383
LOC110436238,1,-0.692810753904493
LOC110433864,1,-0.646673734092288
LOC8083747,1,-0.590963170764597
LOC8064193,1,-0.53415976255691
LOC8061075,1,-0.527613189436646
LOC8068993,1,-0.527613189436646
LOC8068380,1,-0.526788701453883
LOC8070710,1,-0.521012955902437
LOC8056817,1,-0.517006048105297
LOC110429766,1,-0.51421105898326
LOC8074345,1,-0.497769115338706
LOC110430404,1,-0.494990300750163
LOC110429883,1,-0.492273795043996
LOC8057327,1,-0.483475543644167
LOC110429841,1,-0.483447013519716
LOC110429838,1,-0.483447013519716
LOC110431777,1,-0.48015779838597
LOC110432799,1,-0.48015779838597
LOC8056008,1,-0.4729900260434
LOC8070166,1,-0.466637601758898
LOC8058377,1,-0.462119627748175
LOC110429938,1,-0.460273241610023
LOC8070429,1,-0.459033222686035
LOC8069217,1,-0.451493487700501
LOC8060616,1,-0.451315923064203
LOC8060615,1,-0.451315923064203
LOC8056982,1,-0.443076655077282
LOC8055843,1,-0.439889601077332
LOC110430152,1,-0.434223527849841
LOC110431245,1,-0.430238425989421
LOC8085867,1,-0.426231310711475
LOC8063063,1,-0.423997063893859
LOC110434023,1,-0.422090596216698
LOC8081156,1,-0.417722124849978
LOC8057811,1,-0.416277178114122
LOC8073710,1,-0.415128823536426
LOC8060174,1,-0.409898310942102
LOC110436437,1,-0.406784622063479
LOC110432936,2,-0.40326889597206494
LOC8054543,1,-0.396271760134174
LOC8063697,1,-0.393433962873104
LOC8083545,1,-0.392973830002629
LOC8071544,1,-0.392380485593271
LOC8072662,1,-0.390958329515406
LOC8077906,1,-0.390864331991875
LOC8070530,1,-0.390131640618007
LOC110435965,1,-0.389948360210856
LOC8054122,1,-0.387802843747219
LOC8061471,1,-0.386430507117477
LOC110429808,1,-0.385154999518675
LOC8081494,1,-0.384902035329692
LOC8068348,1,-0.384456947566847
LOC110435246,1,-0.384456947566847
LOC8084838,1,-0.383229366033294
LOC8056670,1,-0.381560848984534
LOC110436165,1,-0.381316881521021
LOC8086217,1,-0.380837283450649
LOC110430137,1,-0.379821618287474
LOC8056199,1,-0.37976533321939
LOC110435611,1,-0.37921245341413
LOC110429941,1,-0.377110386603109
LOC8079882,1,-0.377110386603109
LOC8085703,1,-0.376540841899083
LOC110436843,1,-0.374507204180145
LOC8063333,2,-0.37337057883957303
LOC8066281,1,-0.373225614164387
LOC8074420,1,-0.367648441379103
LOC8072146,1,-0.366984121824295
LOC110437206,1,-0.363988097580071
LOC8078338,1,-0.36333832155199
LOC8078744,1,-0.363202381531947
LOC110434833,1,-0.362756298826571
LOC8065332,1,-0.362648953329814
LOC8080542,1,-0.361600135842951
LOC8065132,1,-0.360811470876393
LOC8071286,1,-0.360049588532437
LOC8058749,1,-0.359861851636668
LOC110435046,1,-0.359164575078343
LOC8075487,1,-0.359136813362078
LOC8077876,1,-0.357860646753722
LOC8078360,1,-0.356590360922756
LOC110436604,1,-0.355127746396124
LOC8057654,1,-0.35509078319149
LOC110437469,1,-0.35509078319149
LOC8083048,1,-0.354615112561254
LOC8064622,1,-0.354323179138363
LOC110435896,1,-0.354201363232492
LOC8070082,1,-0.354178983668339
LOC8068511,1,-0.353959825725202
LOC8066070,1,-0.353477105782895
LOC110435405,1,-0.353437688384757
LOC110430090,1,-0.353047257935982
LOC8076145,1,-0.352887635205002
LOC8068177,1,-0.351298592904688
LOC8067095,1,-0.350056645591423
LOC8067218,1,-0.348130511560282
LOC110431012,1,-0.346433591818669
LOC8155417,1,-0.346114117159008
LOC8073844,1,-0.345371699824851
LOC110431956,2,-0.3425144947697865
LOC110433393,1,-0.340838985068653
LOC8060576,1,-0.339058990083849
LOC110434802,1,-0.337949209216981
LOC8064003,1,-0.336427971115194
LOC8082175,1,-0.33623964575632
LOC8065615,1,-0.33603393485759
LOC110433087,1,-0.335704306768947
LOC8082643,1,-0.335482276949049
LOC8074886,1,-0.334940631358541
LOC8067234,1,-0.334573304293767
LOC8056463,1,-0.334483742314212
LOC8062093,1,-0.33373399915189
LOC110432756,1,-0.33290094622501
LOC110433454,1,-0.332748351677112
LOC8072411,1,-0.332748351677112
LOC8074797,1,-0.331692662192138
LOC110430891,1,-0.331406511886155
LOC8086010,1,-0.330432494017791
LOC8062229,1,-0.330077472908283
LOC8061616,1,-0.329861289251049
LOC110431228,1,-0.329861289251049
LOC8071983,1,-0.32783872497607
LOC8085771,1,-0.327076638815644
LOC8066327,1,-0.325732001400109
LOC110435655,1,-0.32557346027714
LOC8057045,1,-0.32552878494737
LOC8059476,1,-0.32489639260561
LOC8062103,1,-0.321657302995113
LOC8077309,1,-0.321638130347134
LOC8080584,1,-0.32122968008394
LOC8061989,1,-0.32100579636847
LOC8079974,1,-0.319992870825164
LOC110434813,1,-0.319757914822713
LOC110434351,1,-0.319757914822713
LOC8064596,1,-0.319437777865749
LOC8080064,1,-0.318732313462095
LOC8062052,1,-0.318072179260444
LOC8076146,1,-0.317880913963711
LOC8062436,1,-0.317443384695378
LOC8082648,1,-0.315941840384198
LOC110434701,1,-0.31509468558176
LOC8065477,1,-0.31417002783714
LOC8071830,1,-0.312082591625812
LOC110437522,1,-0.311749381932113
LOC8083699,1,-0.311716589427493
LOC110432720,1,-0.309632777570468
LOC110431146,1,-0.308857862027548
LOC8059137,1,-0.308209172708426
LOC8075664,1,-0.30788838031865
LOC8075665,1,-0.30788838031865
LOC8060825,1,-0.307819510592816
LOC8073329,1,-0.307819510592816
LOC8060475,1,-0.307621733968457
TRNAR-ACG,1,-0.307550305873629
LOC8057203,1,-0.307179187519138
LOC8080325,1,-0.306866198514891
LOC8072524,1,-0.306146041342802
LOC8086361,1,-0.305965066875267
LOC110436761,1,-0.305673603684259
LOC8081909,1,-0.30502117321222
LOC8080517,2,-0.30438194375342753
LOC8085864,2,-0.304243495462569
