gene_id,n_supporting_contrasts,mean_methyl_diff
LOC110432674,1,-0.618042310084568
LOC110437322,1,-0.569947270692667
LOC110436852,1,-0.569947270692667
LOC110433273,1,-0.562994107194657
LOC8074345,1,-0.554586183335819
LOC8064491,1,-0.533173998911927
LOC8066993,1,-0.511137670349486
LOC8069373,1,-0.510218400024368
LOC110429766,1,-0.488298425705151
LOC8054594,1,0.485170109628822
LOC8083747,1,-0.482733450521135
LOC8070429,1,-0.453546001552129
LOC110429938,1,-0.448061063683868
LOC8078065,1,0.446744438189907
LOC8077537,1,0.446744438189907
LOC110429838,1,-0.444038328005893
LOC110429841,1,-0.444038328005893
LOC8080241,2,-0.442617124804199
LOC8075227,1,-0.425693990289379
LOC8056008,1,-0.423905876294831
LOC8055237,1,0.42247151088714
LOC8055536,1,0.419888127292321
LOC8079764,2,-0.41439134520511
LOC8069619,1,-0.413996828535973
LOC8066274,1,-0.406952193320508
LOC110436903,1,0.4045883098513
LOC8056670,1,-0.401462796114532
LOC8066496,1,-0.397464342428235
LOC8079882,1,-0.394342489864823
LOC8072079,1,-0.392884714377531
LOC8074420,1,-0.391700707652118
LOC110432346,1,-0.390131463671692
LOC8084349,1,-0.389909088056518
LOC110433130,1,0.388569218505479
LOC110437300,1,-0.383169119793437
LOC110436437,1,-0.381514071294606
LOC8085703,1,-0.381508795776696
LOC8068380,1,-0.379774979885874
LOC110431697,1,-0.379723229548692
LOC110429883,1,-0.378814825057458
LOC8066666,1,-0.375031220248093
LOC8059991,1,-0.373750144405503
LOC8057654,1,-0.373489255693537
LOC110437469,1,-0.373489255693537
LOC110437522,1,-0.372108907797297
LOC8077016,1,-0.371769825502679
LOC110435965,1,-0.371529399574946
LOC8062471,2,-0.37147038466618754
LOC8079296,1,0.371309873511869
LOC110434802,1,-0.369019650300285
LOC8076723,1,0.366385773378707
LOC8069767,1,-0.366066852043192
LOC8071808,1,-0.365645236289893
LOC8065454,1,0.364539445242037
LOC8058048,1,-0.360894675469243
LOC8064193,1,-0.360414801400824
LOC8084237,2,-0.35668749718514803
LOC8058449,1,-0.356254708956892
LOC110435896,1,-0.354862191413562
LOC8077874,1,-0.354211832131113
LOC8057240,1,0.354182220305952
LOC8074867,1,-0.353803194232096
LOC8066070,1,-0.353471136687548
LOC8068511,1,-0.350160855634973
LOC8086342,1,-0.349718999234141
LOC8072662,1,-0.349658133517638
LOC8059700,1,-0.349306176416508
LOC8071867,1,-0.348495615483522
LOC8058781,1,-0.348424309251582
LOC8083699,1,-0.347002638228281
LOC8083498,1,-0.345175874731547
LOC8084084,1,0.344346974704134
LOC110432166,1,0.344346974704134
LOC8086010,1,-0.340770091710305
LOC8069213,1,-0.340299908951555
LOC8059531,1,0.339450760544429
LOC8068696,1,0.338936664158167
LOC8067345,1,0.338936664158167
LOC8082175,1,-0.338350199409684
LOC110433087,1,-0.337908327848302
LOC8066466,1,0.336660625448116
LOC110437502,1,-0.336178799621942
LOC8084396,1,0.336131101038656
LOC110431777,1,-0.333758633261894
LOC110432799,1,-0.333758633261894
LOC8081319,1,0.333324644914578
LOC8056982,1,-0.332504104716068
LOC8064408,1,-0.332135500598012
LOC110429808,1,-0.330782979685185
LOC8054122,1,-0.33077878153032
LOC110431956,2,-0.3307375856651565
LOC110432782,2,-0.330057412743608
LOC8083048,1,-0.329562583180512
LOC110437291,1,-0.329156285378783
LOC110429568,1,-0.32896652231391
LOC8071286,1,-0.327891689728196
LOC8062955,1,-0.327550266084449
LOC8085864,1,-0.327067509401539
LOC8073325,1,-0.326828601648626
LOC8086361,1,-0.32404827947579
LOC8061689,1,-0.323341693133107
LOC110430277,1,-0.323093342768418
LOC8077107,1,0.322694885917366
LOC8054543,1,-0.322656743698039
LOC110435954,1,-0.321771952238151
LOC8063697,1,-0.31981404469303
LOC8056817,1,-0.319784205459705
LOC8056199,1,-0.319119871602463
LOC110431339,1,0.319069045578667
LOC110432756,1,-0.318082815276015
LOC110432966,1,-0.317766989649646
LOC8086439,1,-0.317766989649646
LOC8072524,1,-0.317405663332444
LOC8057811,1,-0.316587827719223
LOC8155362,1,0.315987775301132
LOC110430115,1,-0.315982556743087
LOC8059423,1,0.315928468182963
